iter	Passed	Remaining
0	2	212
1	4	201
2	6	196
3	7	184
4	9	184
5	11	183
6	13	180
7	15	178
8	17	176
9	19	173
10	21	171
11	23	169
12	25	168
13	27	167
14	29	165
15	31	163
16	33	161
17	34	159
18	36	157
19	38	154
20	40	152
21	42	150
22	44	149
23	46	147
24	48	145
25	50	143
26	52	141
27	54	139
28	56	137
29	58	135
30	59	133
31	61	130
32	63	128
33	65	126
34	66	124
35	68	121
36	69	118
37	71	116
38	73	114
39	74	112
40	76	110
41	77	107
42	79	105
43	81	103
44	83	101
45	84	99
46	86	97
47	87	94
48	89	92
49	90	90
50	92	88
51	93	86
52	95	84
53	97	82
54	98	80
55	100	78
56	101	76
57	102	74
58	104	72
59	106	70
60	108	69
61	109	67
62	110	65
63	112	63
64	114	61
65	116	60
66	118	58
67	119	56
68	121	54
69	123	52
70	124	50
71	125	48
72	127	47
73	128	45
74	130	43
75	131	41
76	133	39
77	135	38
78	136	36
79	138	34
80	140	32
81	142	31
82	143	29
83	145	27
84	146	25
85	148	24
86	149	22
87	151	20
88	153	18
89	154	17
90	155	15
91	157	13
92	158	11
93	160	10
94	161	8
95	162	6
96	164	5
97	165	3
98	166	1
99	168	0
